cg00000292	0.8763302	3.68E-38
cg00002426	0.8323545	3.68E-38
cg00003994	0.04615385	3.68E-38
cg00005847	0.1213067	3.68E-38
cg00006414	0.0221886	3.68E-38
cg00007981	0.05907062	3.68E-38
cg00008493	0.9781261	3.68E-38
cg00008713	0.0115571	3.68E-38
cg00009407	0.007077198	3.68E-38
cg00010193	0.6468083	3.68E-38
cg00011459	0.8901472	3.68E-38
cg00012199	0.01380725	3.68E-38
cg00012386	0.02019188	3.68E-38
cg00012792	0.0342515	3.68E-38
cg00013618	0.8789108	3.68E-38
cg00014085	0.01754232	3.68E-38
cg00014837	0.8495935	3.68E-38
cg00015770	0.1131929	3.68E-38
cg00016968	0.8642765	3.68E-38
cg00019495	0.3989404	3.68E-38
cg00020533	0.9064952	3.68E-38
cg00021527	0.019516	3.68E-38
cg00022606	0.0435305	3.68E-38
cg00022866	0.251779	3.68E-38
cg00024396	0.02216304	3.68E-38
cg00024812	0.02476959	3.68E-38
cg00025138	0.01698925	3.68E-38
cg00025991	0.4289511	3.68E-38
cg00027083	0.01782372	3.68E-38
cg00027674	0.09301329	3.68E-38
cg00029826	0.06927045	3.68E-38
cg00029931	0.330855	3.68E-38
cg00030047	0.125067	3.68E-38
cg00031162	0.7768645	3.68E-38
cg00032227	0.01399813	3.68E-38
cg00032666	0.6163328	3.68E-38
cg00033516	0.05217743	3.68E-38
cg00033773	0.9622142	3.68E-38
cg00034039	0.07965582	3.68E-38
cg00035347	0.6583482	3.68E-38
cg00035623	0.05632338	3.68E-38
cg00037763	0.8751731	3.68E-38
cg00037940	0.9042596	3.68E-38
cg00040861	0.02090857	3.68E-38
cg00040873	0.2924284	3.68E-38
cg00041575	0.03015151	3.68E-38
cg00042156	0.8837799	3.68E-38
cg00043004	0.04796163	3.68E-38
cg00043080	0.9230769	3.68E-38
cg00044245	0.02514309	3.68E-38
cg00044729	0.4714899	3.68E-38
cg00047050	0.0802755	3.68E-38
cg00047469	0.03082931	3.68E-38
cg00049986	0.08388845	3.68E-38
cg00050312	0.02983933	3.68E-38
