cg00000292	0.8882821	3.68E-38
cg00002426	0.8992006	3.68E-38
cg00003994	0.03814064	3.68E-38
cg00005847	0.07300276	3.68E-38
cg00006414	0.02422548	3.68E-38
cg00007981	0.02159361	3.68E-38
cg00008493	0.9799272	3.68E-38
cg00008713	0.01566374	3.68E-38
cg00009407	0.006995985	3.68E-38
cg00010193	0.6221777	3.68E-38
cg00011459	0.9449955	3.68E-38
cg00012199	0.006952491	3.68E-38
cg00012386	0.02538571	3.68E-38
cg00012792	0.02609913	3.68E-38
cg00013618	0.8853456	3.68E-38
cg00014085	0.02474681	3.68E-38
cg00014837	0.9012048	3.68E-38
cg00015770	0.138815	3.68E-38
cg00016968	0.8822551	3.68E-38
cg00019495	0.2894921	3.68E-38
cg00020533	0.9282076	3.68E-38
cg00021527	0.02194357	3.68E-38
cg00022606	0.02614484	3.68E-38
cg00022866	0.3395261	3.68E-38
cg00024396	0.0493076	3.68E-38
cg00024812	0.02446022	3.68E-38
cg00025138	0.01423814	3.68E-38
cg00025991	0.3895427	3.68E-38
cg00027083	0.007191271	3.68E-38
cg00027674	0.06642512	3.68E-38
cg00029826	0.02588997	3.68E-38
cg00029931	0.3597001	3.68E-38
cg00030047	0.1893592	3.68E-38
cg00031162	0.7919121	3.68E-38
cg00032227	0.009463723	3.68E-38
cg00032666	0.7097473	3.68E-38
cg00033516	0.01763704	3.68E-38
cg00033773	0.9641159	3.68E-38
cg00034039	0.1069194	3.68E-38
cg00035347	0.5482591	3.68E-38
cg00035623	0.08237205	3.68E-38
cg00037763	0.9117532	3.68E-38
cg00037940	0.8692111	3.68E-38
cg00040861	0.01574731	3.68E-38
cg00040873	0.2301176	3.68E-38
cg00041575	0.03037165	3.68E-38
cg00042156	0.8967398	3.68E-38
cg00043004	0.07654013	3.68E-38
cg00043080	0.9203989	3.68E-38
cg00044245	0.02406138	3.68E-38
cg00044729	0.9102289	3.68E-38
cg00047050	0.1221649	3.68E-38
cg00047469	0.03001029	3.68E-38
cg00049986	0.06651786	3.68E-38
